METHOD	PATH	FILE:LINE
POST	/uploads/presign	/home/ubuntu/cvitx/api/app/routes/uploads.py:13
POST	/api/jobs/analyze_video	/home/ubuntu/cvitx/api/app/routes/jobs.py:46
GET	/{video_id}/status	/home/ubuntu/cvitx/api/app/routes/videos_status.py:15
GET	/detections.csv	/home/ubuntu/cvitx/api/app/routes/exports.py:41
GET	/{det_id}	/home/ubuntu/cvitx/api/app/routes/detections.py:192
POST	/avatar/presign	/home/ubuntu/cvitx/api/app/routes/users_profile.py:32
POST	/avatar/commit	/home/ubuntu/cvitx/api/app/routes/users_profile.py:49
GET	/avatar/url	/home/ubuntu/cvitx/api/app/routes/users_profile.py:80
DELETE	/avatar	/home/ubuntu/cvitx/api/app/routes/users_profile.py:100
GET	/workspaces	/home/ubuntu/cvitx/api/app/routes/users_profile.py:115
POST	/{workspace_id}/files/presign	/home/ubuntu/cvitx/api/app/routes/workspace_files.py:40
POST	/{workspace_id}/files/commit	/home/ubuntu/cvitx/api/app/routes/workspace_files.py:71
GET	/{workspace_id}/files	/home/ubuntu/cvitx/api/app/routes/workspace_files.py:111
GET	/{workspace_id}/files/{file_id}/url	/home/ubuntu/cvitx/api/app/routes/workspace_files.py:126
DELETE	/{workspace_id}/files/{file_id}	/home/ubuntu/cvitx/api/app/routes/workspace_files.py:147
GET	/healthz	/home/ubuntu/cvitx/api/app/routes/health.py:5
POST	/snapshots/enqueue	/home/ubuntu/cvitx/api/app/routes/snapshots.py:20
GET	/{workspace_id}	/home/ubuntu/cvitx/api/app/routes/workspaces.py:76
PATCH	/{workspace_id}	/home/ubuntu/cvitx/api/app/routes/workspaces.py:111
DELETE	/{workspace_id}	/home/ubuntu/cvitx/api/app/routes/workspaces.py:137
POST	/videos/register	/home/ubuntu/cvitx/api/app/routes/videos.py:22
POST	/videos/enqueue	/home/ubuntu/cvitx/api/app/routes/queue.py:20
POST	/login	/home/ubuntu/cvitx/api/app/auth/router.py:25
